CNP0503885.5 | CC(C)(C)OC(=O)N[C@H](CCCN/C(N)=N\[N+](=O)[O-])C(=O)O | C6
CNP0377647.1 | O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1 | C6
CNP0270277.2 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C3
CNP0270277.2 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C4
CNP0270277.2 | CO[C@@H](COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C5
CNP0424893.2 | CC[C@H](C)[C@@H](NC(=O)C(COS(=O)(=O)O)OC)C(=O)N(CCC(O)C)CC(=O)NCCC1=CCN(C(=N)N)C1 | C3
CNP0424893.2 | CC[C@H](C)[C@@H](NC(=O)C(COS(=O)(=O)O)OC)C(=O)N(CCC(O)C)CC(=O)NCCC1=CCN(C(=N)N)C1 | C4
CNP0424893.2 | CC[C@H](C)[C@@H](NC(=O)C(COS(=O)(=O)O)OC)C(=O)N(CCC(O)C)CC(=O)NCCC1=CCN(C(=N)N)C1 | C5
CNP0503885.3 | CC(C)(C)OC(=O)N[C@H](CCCN/C(N)=N\[N+](=O)[O-])C(=O)O | C6
CNP0158760.2 | O=CNC(CCC(=O)O)C(=O)O | C5
CNP0158760.2 | O=CNC(CCC(=O)O)C(=O)O | C5
CNP0377647.3 | O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1 | C6
CNP0556691.1 | C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(CCC4[C@@]5(C)CC[C@H](OC(=O)CNOC)C(C)(C)C5CC[C@]43C)C12 | C5
CNP0073714.1 | CC(O)C(=O)N[C@@H](C)C(=O)N(C(=O)[C@@H](C)NC(=O)C(N)CCC(C(=O)CC[C@H](N)C(=O)O)C(N)C(N)=O)[C@H](C)C(=O)O | C3
CNP0280197.1 | CCCOC(=O)[C@@H](C)NC=O | C5
CNP0280197.1 | CCCOC(=O)[C@@H](C)NC=O | C5
CNP0248881.1 | CC(O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)NC(CCC[C@@H](N)C(N)=O)C(=O)O)C(=O)O | C3
CNP0481717.0 | COC1=C(NC(C(=O)O)C(C)O)CC(O)(CO)CC1=N | C4
CNP0320557.1 | C[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(N)=O)C(=O)O)C(N)=O | C3
CNP0248881.2 | C[C@H](NC(=O)[C@@H](C)O)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(N)=O)C(=O)O)C(=O)O | C3
CNP0299795.3 | CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0308165.1 | C[C@H](NC(=O)CCO)C(=O)N[C@H](CCC(=O)O)C(N)=O | C3
CNP0158086.1 | COC(=O)[C@@H](CO)NC=O | C5
CNP0158086.1 | COC(=O)[C@@H](CO)NC=O | C5
CNP0382533.1 | C[C@@H](O)[C@H](N)C(=O)O | C2
CNP0351602.1 | O=C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NP(=O)(O)O | C6
CNP0360534.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C3
CNP0360534.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C4
CNP0360534.1 | COC(COS(=O)(=O)O)C(=O)N[C@H](CC(C)C)C(=O)N(CC(=O)NCCC1=CCN(C(=N)N)C1)CC[C@@H](O)C | C5
CNP0299795.5 | CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)O | C6
CNP0377647.4 | O=C(O)[C@@H]1CCCN1C(=O)OCc1ccccc1 | C6
CNP0074736.1 | C[C@H](NC(=O)CO)C(=O)N[C@H](CCC(=O)O)C(N)=O | C3
CNP0274259.2 | COC(=O)CC[C@H](NC=O)C(=O)OC | C5
CNP0274259.2 | COC(=O)CC[C@H](NC=O)C(=O)OC | C5
CNP0519268.1 | C[C@H](NC(=O)[C@@H](C)O)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(N)=O)C(=O)O)C(=O)O | C3
CNP0274259.1 | COC(=O)CC[C@@H](NC=O)C(=O)OC | C5
CNP0274259.1 | COC(=O)CC[C@@H](NC=O)C(=O)OC | C5
CNP0354264.2 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@@H](C)c2nc3ccccc3c(=O)n21 | C5
CNP0432387.1 | CC(=O)N[C@@H](CS)C(N)=O | C3
CNP0432387.1 | CC(=O)N[C@@H](CS)C(N)=O | C2
CNP0354264.3 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@H]1C(=O)N[C@@H](C)c2nc3ccccc3c(=O)n21 | C5
CNP0354264.4 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@H]1C(=O)N[C@H](C)c2nc3ccccc3c(=O)n21 | C5
CNP0396262.2 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@H]1C(=O)N[C@](C)(O)c2nc3ccccc3c(=O)n21 | C5
CNP0117451.0 | CN1C(C(=O)O)Cc2c([nH]c3ccc(O)cc23)C1C | C2
CNP0117451.0 | CN1C(C(=O)O)Cc2c([nH]c3ccc(O)cc23)C1C | C3
CNP0396262.1 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@](C)(O)c2nc3ccccc3c(=O)n21 | C5
CNP0162739.1 | C[C@H]1c2[nH]c3ccccc3c2C[C@@H](C(=O)O)N1C | C3
CNP0162739.1 | C[C@H]1c2[nH]c3ccccc3c2C[C@@H](C(=O)O)N1C | C4
CNP0354264.1 | C[C@@H]1N[C@H]2N(C1=O)c1ccccc1[C@@]2(O)C[C@@H]1C(=O)N[C@H](C)c2nc3ccccc3c(=O)n21 | C5
CNP0477799.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0491024.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0456816.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0476243.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0469649.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0217418.2 | C[C@@H](NC(=O)OC(C)(C)C)C(=O)O | C6
CNP0450970.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0579140.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0443082.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0468932.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0139089.1 | C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)C([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O | C5
CNP0457622.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0440527.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0606207.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0504416.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0439517.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0452511.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0459327.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0492018.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0252747.1 | CCOC(=O)CNC=O | C5
CNP0438492.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0378097.1 | COC(=O)[C@H](CCSC)NC=O | C5
CNP0178115.1 | C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)C([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O | C5
CNP0477788.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0577858.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0522976.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0470467.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0464109.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0470090.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0468777.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0252747.2 | CCOC(=O)CNC=O | C5
CNP0378097.6 | COC(=O)[C@H](CCSC)NC=O | C5
CNP0471418.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0044325.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0117229.1 | COC(=O)[C@@H](NC=O)C(C)C | C5
CNP0549363.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0568537.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0513961.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0378097.5 | COC(=O)[C@H](CCSC)NC=O | C5
CNP0494007.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0514048.1 | O=CCCN[C@@H](C(=O)[O-])C(=O)O | C6
CNP0451728.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0458310.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0475417.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0188428.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0476415.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0451578.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0443366.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0252747.3 | CCOC(=O)CNC=O | C5
CNP0443561.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0481244.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0463193.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0564105.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0475119.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0486902.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0437919.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0456783.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0453367.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0548714.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0478079.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0438895.1 | CN[C@@H](C(=O)O)C(=O)O | C6
CNP0561951.1 | O=CCCN[C@H](C(=O)[O-])C(=O)O | C6
CNP0452447.1 | CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)O | C6
CNP0442369.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0437933.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0476523.1 | CN[C@H](C(=O)O)C(=O)O | C6
